content,author
"Fourth time this season, heavy rains paralysed the city as most areas went knee-deep under water. Road traffic came to a halt in Sion, King’s Circle, Dadar TT, Parel and floodprone Khar, while several trains on Central, Western and Harbour lines were running late owing to waterlogging. Monday, in fact, saw the highest rainfall of the season so far in 24 hours – 203 mm. While Colaba recorded 190 mm of rainfall, Worli received 180 mm and Versova 140 mm until 6.30 pm on Monday. Amidst mayhem, the city witnessed 20 short circuit incidents, eight tree fall incidents and five wall collapses. Luckily no casualties or injuries were reported. Even as the authorities ordered high alert for National Disaster Relief Force, fire brigade department and other agencies, the Indian Meteorological Department predicted continued heavy downpour in Mumbai and Thane till Thursday. With a high tide warning for the entire week, a high alert situation has been predicted for Wednesday and Saturday. (Source:  ) The Bharatiya Janata Party’s national president, Amit Shah, who is known to be a hard taskmaster, has set a target of winning at least to 32 of the 48 Lok Sabha seats in Maharashtra, in case the party’s alliance with the Shiv Sena does not work out. The Sena, which is a junior partner in the BJP-led governments both at the Centre and in the state, announced in January this year that it would contest all future elections on its own. (Source:  ) Sixty-five families living metres from Sandhurst Road stationfear losing their homes after a section of the railway retaining wall next to their compound collapsed on tracks on Monday. The incident occurred around 10 am, disrupting Kalyan-bound slow services for 45 minutes. Central Railway is likely to ask housing authority MHADA to vacate the families from the compound, comprising three low-slung buildings (27 E, 27 F, 27 C), for a brief period so it can reconstruct the wall, which has suffered a series of collapses since 2010. Rail authorities had made a similar demand in April. (Source:  ) The National Company Law Tribunal (NCLT) on Monday dismissed pleas of Cyrus Mistry challenging his removal as Tata Sons chairman, as also allegations of misconduct on the part of Ratan Tata and the company’s board. A special bench of the tribunal held that the board of directors at Tata Sons was “competent” to remove the company’s executive chairperson. NCLT bench members BSV Prakash Kumar and V Nallasenapathy said Mistry was ousted as chairman in October 2016 because the Tata Sons’ board and its majority shareholders had “lost confidence in him”. (Source:  ) A fresh hurdle has cropped up for the government’s ambitious bullet train projectbetween Ahmedabad and Mumbai, with the Godrej Group moving the Bombay High Court to challenge the proposed acquisition of its prime property in suburban Vikhroli for the project. The conglomerate has sought a direction for the authorities concerned to change the project’s alignment so that it can get nearly 8.6 acres of land belonging to its infrastructure arm Godrej Construction out of the plan. (Source:  ) With the daily ridership on the Versova-Andheri-Ghatkopar (VAG) Metro line increasing, there has been a growing demand for two additional coaches. Now, the Mumbai Metropolitan Region Development Authority (MMRDA) — the 26% stakeholder in the project —wants Reliance Infrastructure-led Mumbai Metro One Pvt Ltd (MMOPL) to add the two coaches to its rakes to increase the carrying capacity. RA Rajeev, metropolitan commissioner, MMRDA said, “We had asked them to increase the coaches earlier, and in the recent meeting too, I asked them to increase it.” (Source:  ) As city’s potholes get bigger and deeper by the day, the people who run maximum risk of landing in hospital are riders of two-wheelers. During Monday’s incessant rain, a Borivali couple on motorcycle hit a pothole on the Western Express Highway, near Mahindra flyover, escaping death by a whisker. Hemal Master and his wife Karuna sustained multiple limb injuries and were admitted to MM Hospital in Borivali. Hemal was travelling towards Bandra Kurla Complex on his motorbike with his wife Karuna when the two-wheeler skidded around a deep pothole. (Source:  ) Early on July 5, the police control room received a phone call from a slum-dweller at P D’Mello Road, saying concrete slabs from a foot overbridge connecting the walkway to Yellow Gate were falling off. The police alerted the Fire Brigade, which reached the spot along with BMC officials from ‘B’ Ward, including an executive engineer who identified himself as R Dange. The executive engineer told this correspondent, who was at the spot, that a safety audit of the FOB was carried out six months ago, and it had concluded that the FOB was “dangerous” and in need of “immediate repairs”. (Source:  ) (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
"The BJP has made a significant gain of 11 additional seats while the Congress made an overall loss of four in the biennial elections to 59 Rajya Sabha seats, consolidating the saffron party's position in the House and leaving its main rival far behind. The BJP’s 28 candidates emerged victorious in the polls held on Friday against 17 retiring members, while the Congress won only 10 seats while 14 of its members will retire next week. A calculation of tallies show that the BJP's strength in the 245-member House will go from the existing 58 to 69 and that of the Congress will fall from 54 to 50 when the new MPs take oath next week. However, a majority in the Council of States will continue to elude the BJP-led NDA. However, NDA managers are upbeat following the loss in numbers of most vocal opposition parties like the Congress and the Samajwadi Party, which won only one seat while its six members are retiring. BJP sources said treasury benches will now be more comfortably placed in the House as regional parties like the AIADMK, TRS, which has gained three more seats, YSR Congress and the BJD, all of whom are outside the NDA, have been more open to supporting the government's legislative agenda. BJP's winning spree in state Assembly polls have resulted in a steady rise in its numbers in the House, whose members are elected by assemblies, while the loss of power of the Congress in many states has led to a fall in its numerical strength. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",PTI
"Rajya Sabha saw two disruptions on Thursday already and is set to resume at 3 pm after members continued to create a ruckus in the House. The scene was no different in Lok Sabha which saw relentless protests by Opposition even as the government managed to get two bills passed amid the din. The Rajya Sabha was first adjourned till 2 pm on Thursday amid sharp exchanges between former Union minister from the TDP, YS Chowdary, and the Congress members over the bifurcation of Andhra Pradesh in 2014 under the UPA government. Chowdary, along with another Telugu Desam Party (TDP) member Ashok Gajapathi Raju, had resigned from the Union Cabinet a few days ago to protest against the alleged ""injustice"" being meted out to Andhra Pradesh by denying the state special category status. The TDP is a partner in the BJP-led National Democratic Alliance (NDA) but has off late accused the BJP of going back on its words vis-a-vis granting special status to Andhra Pradesh. The Centre, however, has said that it has been providing all the required financial assistance to Andhra Pradesh in various forms. Minutes after the House met for the day, Chowdary stood up to explain to the House why he resigned from the government, as per Rule 241 of the Upper House's procedures. As per the said Rule, a member has to read out from the text that he has to submit to the Chair beforehand. However, in his remark, Chowdary deviated from the text as he blamed the then United Progressive Alliance (UPA) government of going ahead with the bifurcation of Andhra state into Telangana and Andhra Pradesh ""hastily, unjustly and unscientifically"". This, and other sharp remarks from Chowdary created a furore in the Congress benches and some of its members came near the Chair's podium to protest against Chowdary's remarks. Amid the ruckus, Chairman M Venkaiah Naidu adjourned the House till 2 pm, which was later again adjourned till 3 pm. Earlier, the House paid homage to its former member Hamida Habibullah who passed away two days back aged 101 years. The proceedings of Lower House were paralysed for the ninth consecutive day as Opposition parties besides the TRS and the TDP, which is a member of the ruling NDA, stormed the Well as soon as it met and continued with their noisy protests over a number of issues, including the PNB scam, special status for Andhra and increase of quota. Speaker Sumitra Mahajan first adjourned the House till noon and then for the day. However, the government pushed two bills — The Payment of Gratuity (Amendment) Bill and The Specific Relief (Amendment) Bill — for passage amid this din and the House passed them with a voice vote. Congress leader Jyotiraditya Scindia, whose party members were also in the Well, sought a discussion on the bills. With continuous protests by different parties making the prospect of any discussion improbable, the Speaker went ahead with the proceedings for the passage of bills. Parliamentary Affairs Minister Ananth Kumar said The Payment of Gratuity (Amendment) Bill was an important piece of legislation as he sought the opposition's cooperation. The Bill notifies the period of maternity leave as part of continuous service and proposes to empower the Central government to notify the gratuity ceiling from time to time without amending the law. Moving the bill for passage, Labour Minister Santosh Kumar Gangwar said it is a very important legislation for employees, especially women. The Specific Relief (Amendment) Bill proposes to grant a party the right to seek damages from the other side in case of a breach of a business contract and to reduce the discretion of courts in such matters. Earlier, as soon as the Speaker took up the Question Hour, members from various parties trooped into the Well holding placards. When Union Minister Ram Kripal Yadav was responding to the first question on rural housing, the protesting members raised their pitch, drowning his voice. Parliamentary Affairs Minister Ananth Kumar urged the members of the Opposition parties, including the Congress, to return to their seats and allow the House to function. He said Parliament is the 'maha panchayat' of the country where issues are discussed but the disruptions are not allowing important issues to be raised. He also thanked the Speaker for trying to ensure smooth functioning. He said the government is open to discuss issues including bank scam, Cauvery water management board and special status for Andhra Pradesh, but the House has to function first and members have to vacate the Well. As the protests continued, the House was adjourned till 12 noon minutes before it was adjourned till Friday. While members of the Congress, TMC, TDP, YSR Congress and TRS were in the Well raising slogans and holding placards, MPs from the Left were standing at their seats and shouting slogans. Since 5 March, when Parliament had met after a recess, the Lok Sabha has seen disruptions on a daily basis. Despite the House being in pandemonium, the Finance Bill and the appropriation bills were on Wednesday passed by the House without discussion.",FP Staff
"Senior IPS officer Subodh Jaiswal, who had been working with the country’s top intelligence agency R&AW in Delhi, was named the new Mumbai police boss on Saturday, in what some described as a surprise announcement by Chief Minister Devendra Fadnavis. Jaiswal pipped Thane police commissioner Parambir Singh and state intelligence chief Sanjay Barve, two men who were seen as frontrunners, to the post, replacing Dattatray Padsalgikar, who has moved up to become the Maharashtra director general of police. (Source:  ) In Manama, Bahrain, at 13:02 on June 30, 2018, the Victorian Gothic and Art DecoEnsemble, Mumbai, was inscribed as a World Heritage Site, making it one of the most significant events in Mumbai’s historical timeline. This inscription will serve to protect, enhance and showcase a spectacular ensemble of 94 historic buildings across 66.34 ha with four significant architectural styles. Two centuries, 19th and 20th, straddle the Oval Maidan on either side, making the ‘Mumbai collective’ unparalleled. The dramatic confrontation of the two styles across the Oval reflects two waves of urban expansion, within which the majority of buildings being built were Victorian Neo Gothic and Art Deco. These styles comprise Victorian Gothic, Indo Saracenic, Neo Classical and Art Deco. (Source:  ) Five persons were lynched in Maharashtra's Dhule district on Sunday, 1 July, by villagers, who suspected that they were part of a gang of child-lifters, PTI reported. The incident took place at Rainpada, 25 kilometres from Pimpalner in the Dhule district, at around 11.30 am, officials told PTI. (Source:  ) If you are a potential home buyer, the Maharashtra Real Estate Regulatory Authority(MahaRERA) has just made your life considerably easier. Now, instead of running from one builder’s office to another, you can access all the information you want regarding a project with just a click. On Friday, the realty regulator went live and began mapping all the development projects registered with it. Using a Geographical Information System (GIS), over 4,000 projects have already been mapped out. (Source:  ) Bitten by a colony of hornets while taking a walk in Veer Savarkar Garden, a 55-year-old physically challenged man from Borivli, died within 12 hours on Wednesday. Two other men who rushed to his help also suffered multiple injuries. Claiming that such an incident has not been recorded before, Brihanmumbai Municipal Corporation’s (BMC) insecticide department said the insects were hornets – a subset of the wasp family. Although not confirmed, BMC insecticide officer Rajan Naringekar said it could be Vespa, an aggressive form of wasps, found commonly around SGNP, Borivli, Aarey and Goregaon. They had built their nest in the bark of a tree in the garden. (Source:  ) Slow trains on the Mumbai Suburban Railway network are all set to pick up the pace. Western Railway (WR) has sought permission from Commissioner of Rail Safety (CRS) to increase the minimum speed of Bombardier-made trains from 70 km per hour to 90km per hour on the Churchgate-Borivli route. “We have applied for the increase in the minimum speed of the trains. This would help in not just cutting travel, time but would also give an opportunity to fit in new services as well between Churchgate and Borivli station on the slow line,” said Sanjay Mishra, divisional railway manager, WR. (Source:  ) Days after it was announced that the Centre had initiated the process of selling Air India’s iconic Marine Drive building to Jawaharlal Nehru Port Trust (JNPT), it has come to light that the national carrier’s priceless artwork will be taken over by the Ministry of Culture, which will display it in the National Gallery of Modern Art in various metros. The Air India is holding consultations with the ministry on the matter as preservation and upkeep of over 2,000 artefacts, some of which date back to the 9th century AD, is of prime concern now, said an Air India source. The modalities are being worked out for taking a final decision on the matter, said a ministry of culture official The art pieces have been collected over 60 years and are housed in the Air India building at Marine Drive. The officials said the artefacts could be displayed under a separate Air India pavilion in the National Gallery of Modern Arts. (Source:  ) The Chhatrapati Shivaji International Airport in Mumbai, the second busiest in the country, fared miserable in flight punctuality as it was ranked fifth least punctual airport in the world, just ahead Jakarta Soekarno-Hatta Airport in Indonesia and Islamabad airport. The IGI airport in Delhi, the 16th busiest in the world, fared slightly better, securing the 451st position among the 513 airports worldwide, according to a study conducted by OAG, a global leader in providing flight information. (Source:  ) Patrons at Inorbit Mall in Maladwitnessed a massive ruckus on Sunday afternoon, when former India cricketer Vinod Kambli and his wife Andrea had an altercation with music composer Ankur Tiwari and his father. Ankur is the brother of Bollywood singer and music director Ankit Tiwari. Kambli and Andrea have alleged that Tiwari’s father RK Tiwari deliberately brushed his hand against Andrea, even as the latter claimed the couple punched his 59-year-old father, and that Andrea took off her sandal to assault him. (Source:  ) (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
"The government, on 27 February, announced a significant reduction in airfare for those going on Haj, a month after it scrapped subsidies for the pilgrimage. Union Minority Affairs Mukhtar Abbas Naqvi described the move as a ""major step"". ""The PMO took a keen interest in this. The decision is in line with our empowerment without appeasement policy,"" Naqvi told reporters. The reduction will be applicable to passages on Air India, Saudi Airlines and Flynas, an air carrier based in Saudi Arabia, to Jeddah and Medina from 21 airports in India. The decision to cut airfares will end the ""political and economic exploitation"" of Hajis ""as was done during the Congress-led UPA regime"", Naqvi said. To drive home the point, the minister compared Haj airfares fixed during the former UPA regime and the ones for 2018. From Ahmedabad, the round fare this year will be around Rs 65,015, as against Rs 98,750 in 2013-2014. The passage from Mumbai has been brought down to around Rs 57,857, from Rs 98,750 in 2013-14. The government had in January abolished subsidies given to those on the pilgrimage in view of a 2012 Supreme Court order. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",PTI
"With just 15 days to go before the Karnataka Assembly election, Prime Minister Narendra Modi addressed party workers on Thursday morning. His primary instruction to office-bearers was to have as many women workers on the field as men. ""Distribute the families to be targeted between all the workers. You won't need anything else to win elections. This is not about winning the Vidhan Sabha election, it is about winning at the booth-level,"" he said. The prime minister then urged party workers to ""reach each and every vote"". Ahead of the crucial polls in the southern state, Modi said that the BJP governed and fought elections solely based on the development model. ""We know other political parties hesitate to talk on development because development can be quantified. This was unacceptable to those parties which only concentrated on division. We govern and also fight elections based only on development model,"" he said. ""We walk ahead keeping unity in mind. Sabka saath, sabka vikas, is the mantra we follow. I have seen Karnataka has made up its mind on development,"" he added. Hitting out at the Congress party, Modi accused the party of ""rampant lying"" after witnessing heavy losses in the last state Assembly elections. ""Congress has resorted to rampant lying after a series of defeats in elections. In such circumstances, karyakartas must stand their ground, expose their lies and also fight their means of deceiving people by hiring foreign agencies,"" he said. Modi also claimed ""some parties"" exploited the emotions of some communities before elections and forgot about them after the polls. ""If you analyse last few elections, you will realise how few political parties have indulged only in dividing societies on religious lines. They exploit emotions of some community before the elections and forget them after the elections,"" he said. Comparing how the NDA government performed in comparison to the UPA, the prime minister said the BJP-led coalition has worked more towards infrastructural development and produced double the results in four years. ""In renewable energy sector, UPA added only 2,000 MW to the power grid while we added 7,800 MW in just four years. In solar energy sector alone, we have piled up 4,800 MW capacity as compared to a meagre 31 MW under UPA's rule,"" he claimed. Speaking of road development in Karnataka, Modi said there is close to Rs 14,000 crore worth of road works under progress. ""In Karnataka, close to Rs 14,000 crore worth of road works is under progress. It will serve as a good fortune for Karnataka for a century. While we constructed 1,750 Km of highways in four years, for Karnataka, UPA had only built half of this,"" he said. ""Had the local state government not indulged in petty politics, had they extended full cooperation, we could have achieved even better figures. I want to add more pace to our development works in Karnataka. I need your support for this to happen,"" he told party workers during the interaction. The prime minister also encouraged the voters to elect a government with complete majority. He also accused the Congress of spreading lies about a ""hung"" Assembly. ""Now that people have seen that Congress is going to lose, people have started talking about a 'hung' Assembly. They are spreading lies that there will be no clear majority. It is their conspiracy to dissuade voters from casting their vote,"" Modi said pointedly. ""Now our job is to reach each and every voter,"" he added. Claiming he was also a true Kannadiga in spirit, Modi encouraged party workers to move forward in the same manner. On the state of agriculture in Karnataka, Modi listed all the Central government schemes in place such as the Pradhan Mantri Fasal Bima Yojana and said his government wanted to promote value addition. He also spoke about the Minimum Support Price (MSP) and said that during the Congress rule in the state, farmers were not able to avail these advantages due to the state's incompetency. Seeking to strengthen the sandalwood production, he said, ""Karnataka, which is known for sandalwood, lost out when Australia took specimens from the state and started producing it in its country. We have to focus on that."" However, Modi avoided answering questions on farmer suicides in the state, and instead focused on his vision for a 'sweet revolution'. ""We want to bring about 'sweet revolution' with honey. Our farmers can earn a significant amount of income with honey,"" he said. Speaking of civic apathy in Bengaluru, Modi said the state must provide for shortages that might occur in the future. ""We have to make provision for water shortages we might face 20-30 years later. I believe people are not to blame for Bengaluru's sorry state of affairs,"" he said. On Sunday, Modi interacted with BJP MPs and MLAs through his app over a variety of issues, including the ongoing 'gram swaraj' drive, which had started on 14 April and would continue till 5 May. The BJP is locked in a tough fight with the ruling Congress in Karnataka and is banking on Modi's charisma to help it come back to power in the state after five years. The prime minister will start his campaign in the state from 1 May and is expected to address anywhere between 15-20 rallies, party sources said.",FP Staff
"Jawaharlal Nehru University (JNU) student Umar Khalid narrates the sequence of events that led to an attack on him involving a gun shot at the Constitution Club of India in New Delhi on Monday, 13 August. From what transpired on the day to the build-up before it involving a hate campaign against him, and the   swirling around the shooting attempt, Khalid gives a detailed account to  . “We’d called for a ‘Unite Against Hate’ meeting, which stands against mob lynchings and other hate crimes. Rakbar Khan’s family was coming, Junaid Khan’s family, Radhika Vemula, even Najeeb Ahmad’s mother were all supposed to attend.” As soon as I saw the gun, I grabbed his hand and kept pushing it away. By then, my friends [Sharique Hussain and Banojyotsna Lahiri] came and they started pushing the man away. Umar’s friend Sharique adds, “I ran behind the gunman. By the time he crossed the road, he turned around and fired a shot at me. Then he threw the pistol down and ran away.” “There is an eyewitness account and that is not contradictory to what I’m saying. When the gunshot was eventually fired the gunman was running away, but he did have a gun and it was pointed at me.” “The people who are saying that this is not what happened, belong to an ideological dispensation, I won’t even name them.” “Meenakshi Lekhi[BJP MP], came inside the Constitution Club and said that I was playing the victim card, when I was talking to the police.” “I’m not a robot, I’m a human being. When there’s been an attempt on your life and you see people celebrating it, it affects you.” “This is a kind of psychological game that the right is playing with anyone who opposes them. My question is where does this filth come from? Where does this propaganda come from?” “You see ministers like Jayant Sinha garlanding lynchers. Gaurav Bhatia, BJP’s national spokesperson, comes on national television and says, “ ’” “I’m NOT saying that was a BJP guy who tried to kill me. That needs to be investigated! While it’s still under investigation, there are people creating a narrative and saying, ‘1. This never happened, and 2. if it did happen, why didn’t it happen properly? Why wasn’t he dead?’” A few hours after his interview to  , Umar also tweeted a photo with journalist Gauri Lankesh, with the caption, “They can’t scare us into silence. A lesson I learned from Gauri Lankesh.” (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
" Goa chief minister Manohar Parrikar will meet the alliance partners of his government on 12 October at All India Institute of Medical Sciences (AIIMS) in Delhi where he is currently undergoing treatment, an official said on  Wednesday. Parrikar, 62, is admitted at the AIIMS in Delhi since 15 September for a pancreatic ailment. ""The alliance partners have been called for a meeting by the chief minister in Delhi on 12 October at AIIMS where he is admitted,"" a senior official in the Chief Minister's Office (CMO) told  . During the meeting, Parrikar would discuss ""matters related to the state's governance,"" he said. Maharashtrawadi Gomantak Party (MGP) leader Sudin Dhavalikar, Goa Forward Party (GFP) leader Vijai Sardesai and Independent MLAs Govind Gawade, Rohan Khaunte and Prasad Gaonkar, who are supporting the Bharatiya Janata Party (BJP) -led alliance in Goa, have been invited for the meeting, the official said. ""I have been invited for the meeting with the chief minister in Delhi on 12 October. I don't know who else is invited,"" Gawade said, adding that he has not been informed about the meeting's agenda. This would be the first formal meeting chaired by Parrikar since his admission to the AIIMS last month. Highly placed sources said Parrikar is likely to distribute additional portfolios to his Cabinet ministers during this week. ""A discussion is likely in the meeting about portfolios to be distributed to the allies,"" a source said. BJP president Amit Shah had last month said Parrikar would continue as the chief minister and that there would be reshuffle of his Cabinet soon. Later, two ailing ministers Francis D'Souza and Pandurang Madkaikar were dropped from the Goa Cabinet and they were replaced with Milind Naik and Nilesh Cabral. Questions over the stability of the government have been raised by the Opposition Congress because of Parrikar's illness. Goa deputy speaker and BJP MLA Michael Lobo said last Friday that the state administration has ""totally collapsed"" because of the absence of Parrikar and people were praying for his early recovery. The MGP, a key ally in Goa's ruling BJP-led coalition, last Wednesday dismissed questions over the stability of Parrikar government but expressed readiness to face mid-term polls in case the Assembly is dissolved. The BJP, which has 14 MLAs in the 40-member Assembly, is ruling the state with the help of the MGP, the GFP, the Nationalist Congress Party (NCP) and three Independents. GFP and MGP have three seats each and NCP has one.",Press Trust of India
": Trinamool Congress leader Arabul Islam was on Saturday sent to ten days police custody in connection with the killing of a supporter of an 
independent candidate in the 14 May West Bengal panchayat polls. Islam, a district-level leader of the TMC and a former MLA, was arrested last night on the orders of Chief Minister Mamata Banerjee who is also in charge of the home department. He was produced before the Baruipur sub-divisional magistrate's court today and remanded in police custody till 22 May. The police, which has registered a case of murder against Islam, had sought his remand for 14 days. Hafizul Mollah, 25, was on Friday hit by a bullet on his chest when he, along with other supporters of the independent candidate, was taking part in a procession from Kashipur to Machhibhanga in Bhangor in the state's South 24 Parganas district. The police are now on the lookout for the TMC leader's son and brother for their alleged involvement in the incident, a senior police officer said. After Islam's arrest, police searches yielded a large number of bombs from areas around his residence and an adjoining pond, he said. Most of the independent candidates in the area are associated with the Jami Rakkha Committee (save land committee), an anti-land acquisition outfit opposing the setting up of a power grid unit in Bhangor in the state's South 24 Parganas district. The procession yesterday was taken out in response to an alleged attack by Islam's associates on the residence of the rival independent candidate on the night of 10 May. Islam, who is the chairman of the Bhangor II Panchayat Samiti, is facing a challenge from an independent candidate in the rural polls. Mollah was grievously injured when bombs and bullets rained on the members of the procession, the police said. He was rushed to a nursing home and then to a hospital, where he was declared 'brought dead', they said. The Jami Rakkha Committee alleged that Islam's men had unleashed violence so that he could win the election without any opposition. It also claimed that several other supporters of the committee were injured in the attack. A large police contingent remained deployed in the area to maintain peace, the police said. The State Election Commission is keeping watch on the law and order situation in all districts, including South 24-Parganas district, officials said. Area domination by special forces through route march have already begun in all sensitive and super sensitive areas, the police said. Several contingent of forces from other states have already arrived. The rest would reach in Bhangor by Sunday, they said.",PTI
"Union Minister Uma Bharti on Monday, 19 November, alleged that Congress has joined hands with Pakistan “in order to defeat” Prime Minister Narendra odi in the upcoming 2019 Lok Sabha elections. She said that Atal Bihari Vajpayee, as the leader of Opposition, had supported Indira Gandhi government when India fought against Pakistan. However, she said, now a Congress leader went to Pakistan and said they have to defeat Pakistan. Speaking to news agency ANI, Bharti said: The union minister’s statement is seen as a reference to Punjab minister Navjot Singh Sidhu’s recent remark that PM Modi was “jealous” that Pakistan Prime Minister Imran Khan did not invite him for the swearing-in ceremony. ""Prime Minister Modi is jealous of me for obvious reasons. PM Modi did not receive the invitation from Imran Khan to attend his swearing-in ceremony,"" Sidhu had said, reported ANI. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",The Quint
